"id";"uniprot"
1;"P98088"
2;"P00744"
3;"P00724"
4;"P03956"
5;"P37064"
6;"P10761"
7;"P24623"
8;"Q07287"
9;"P81371"
10;"P01009"
11;"P05059"
12;"P00747"
13;"P98119"
14;"P02679"
15;"P14780"
16;"P12346"
17;"P61823"
18;"P22064"
19;"P06028"
20;"P05540"
21;"P25062"
22;"P06867"
23;"P04275"
24;"P01223"
25;"P05556"
26;"P43237"
27;"P03315"
28;"P14221"
29;"P40225"
30;"P02751"
31;"P07219"
32;"P17955"
33;"P81428"
34;"P02764"
35;"P04273"
36;"P01193"
37;"Q7Z1F8"
38;"P07314"
39;"P0C1B3"
39;"P0C1B4"
40;"P00797"
41;"P01190"
42;"P00533"
43;"P98158"
44;"P08100"
45;"P03275"
46;"P08318"
47;"P13646"
48;"P15289"
49;"P02774"
50;"Q70626"
51;"P02505"
52;"P05000"
53;"P05046"
54;"P02671"
55;"P13087"
56;"P07498"
57;"P56526"
58;"P01871"
59;"P02668"
60;"P16150"
61;"P80071"
62;"P42098"
63;"P29965"
64;"P21754"
65;"P35253"
66;"Q817X1"
67;"P08471"
68;"P01730"
69;"P02754"
70;"P10451"
71;"P10153"
72;"P08575"
73;"P02786"
74;"P02675"
75;"P08519"
76;"P23176"
77;"P07204"
78;"P26201"
79;"P05088"
80;"P01570"
81;"P02879"
82;"P00743"
83;"P04837"
84;"P11166"
85;"Q9TRC7"
86;"P31355"
87;"P93535"
88;"O02197"
89;"P01048"
90;"P00450"
91;"P07359"
92;"P0DN86"
92;"P0DN87"
93;"P17050"
94;"P08101"
95;"P00590"
96;"P27424"
97;"P01225"
98;"Q9BH10"
99;"P04180"
100;"Q9HC84"
101;"P19527"
102;"P02656"
103;"P24627"
104;"P56817"
105;"P03372"
106;"P01267"
107;"P02701"
108;"P39873"
109;"P02768"
110;"P03415"
111;"P58822"
112;"P69327"
112;"P69328"
113;"P00750"
114;"P02760"
115;"P02771"
116;"P04921"
117;"P01218"
118;"P52285"
119;"Q08169"
120;"P29460"
121;"P80051"
122;"P18684"
123;"P12763"
124;"Q10583"
125;"P11831"
126;"P31356"
127;"P39060"
128;"P02511"
129;"P32942"
130;"Q9XYR5"
131;"P33151"
132;"Q62005"
133;"P07911"
134;"P01215"
135;"P03459"
136;"P02853"
137;"P05164"
138;"P02788"
139;"P28351"
140;"P48819"
141;"Q27673"
142;"P06127"
143;"P05431"
144;"Q9GSG2"
145;"P81405"
146;"O54088"
147;"P01012"
148;"P05087"
149;"Q9TQZ3"
150;"P05787"
151;"Q9YGP1"
152;"P14220"
153;"P08148"
154;"P04651"
155;"Q14596"
156;"P22891"
157;"P08932"
158;"P00734"
159;"P06870"
160;"P00749"
161;"P02784"
162;"P01868"
163;"P19652"
164;"P01024"
165;"P19963"
166;"P01575"
167;"Q91132"
168;"P08648"
169;"O97939"
170;"P02752"
171;"P06729"
172;"P01374"
173;"P35496"
174;"P81382"
175;"P13987"
176;"P12839"
177;"P02896"
178;"Q6YDN9"
179;"P22195"
180;"P00740"
181;"P02765"
182;"P80195"
183;"P82474"
184;"P03070"
185;"P08289"
186;"Q40379"
187;"P00451"
188;"O88717"
189;"P02727"
190;"P83180"
191;"P01833"
192;"P20613"
193;"P37198"
194;"P07996"
195;"P26214"
196;"P04004"
197;"P08047"
198;"P01011"
199;"P21138"
200;"P49884"
201;"P08138"
202;"P18632"
203;"P06750"
204;"P06863"
205;"P04854"
206;"P10252"
207;"Q28685"
208;"P08709"
209;"P14151"
210;"P02712"
211;"P04007"
212;"P19827"
213;"P04745"
214;"Q28178"
215;"P05783"
216;"P09923"
217;"P15468"
218;"P04114"
219;"P02470"
220;"P02488"
221;"P00741"
222;"P01231"
223;"P16094"
224;"P08861"
225;"P19785"
226;"P10645"
227;"P81191"
228;"P10762"
229;"P11818"
230;"P09466"
231;"P48199"
232;"P56743"
233;"Q99102"
234;"P03393"
235;"P01106"
236;"P60568"
237;"P01375"
238;"P03395"
239;"P01824"
240;"Q8MNZ1"
241;"Q62765"
242;"P35495"
243;"P80366"
244;"P14518"
245;"P19835"
246;"Q9U8R2"
247;"P11279"
248;"P02714"
249;"P43150"
250;"P04582"
251;"P01229"
252;"P06868"
253;"P00742"
254;"Q10584"
255;"P04988"
256;"P00630"
257;"P02724"
258;"P04070"
259;"Q14242"
260;"P01217"
261;"P23795"
262;"Q9FPQ6"
263;"P02873"
264;"P02710"
265;"P26324"
266;"P01574"
267;"P02789"
268;"P11171"
269;"P01579"
270;"P01130"
271;"P04404"
272;"P00433"
273;"P02699"
274;"P01266"
275;"P02510"
276;"P04278"
277;"P02743"
278;"P02489"
279;"P10646"
280;"P20239"
281;"Q40381"
282;"P17599"
283;"P23223"
284;"P08751"
285;"P00735"
286;"P26792"
287;"P05067"
288;"P15941"
289;"P01033"
290;"P07602"
291;"Q63751"
292;"P14328"
293;"P26631"
294;"O08537"
295;"P13473"
296;"Q09163"
297;"Q05769"
298;"P02763"
299;"P01005"
300;"P10522"
301;"P14210"
302;"P18774"
303;"P15260"
304;"P54939"
305;"P19823"
306;"P01588"
307;"P26334"
308;"P01563"
309;"P28512"
310;"P92127"
311;"P01591"
312;"Q02817"
313;"P16404"
314;"P02718"
315;"P02787"
316;"P02726"
